primary_key,ancient_toponym,modern_toponym,province,country,longitude_x,latitude_y,civic_status,notes
Hanson2016_1,Abae,Kalapodi,Achaea,Greece,22.933333,38.583333,Rights and privileges,libera
Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,23.734088,38.083473,NA,NA
Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,23.219702,38.452606,NA,NA
Hanson2016_4,Aegina,Aigina,Achaea,Greece,23.4285,37.750074,Rights and privileges,libera
Hanson2016_5,Aegira,Aigeira,Achaea,Greece,22.35572,38.147951,NA,NA
Hanson2016_6,Aegium,Aigio,Achaea,Greece,22.081952,38.252707,NA,NA
Hanson2016_7,Ambracia,Arta,Achaea,Greece,20.987,39.158,NA,NA
Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,22.378406,38.527328,Rights and privileges,libera et immunis
Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,23.461481,38.497543,NA,NA
Hanson2016_10,Anticyra,Palatia,Achaea,Greece,22.632895,38.377588,NA,NA
Hanson2016_11,Antigonia,Gjirokaster,Achaea,Albania,20.221111,40.105278,NA,NA
Hanson2016_12,Argos (Achaea) (1),Loutron,Achaea,Greece,21.25,38.75,NA,NA
Hanson2016_13,Argos (Achaea) (2),Argos,Achaea,Greece,22.719769,37.631278,NA,NA
Hanson2016_14,Athenae,Athens,Achaea,Greece,23.726559,37.971119,Rights and privileges,foederata
Hanson2016_15,Atrax,Palaiokastro,Achaea,Greece,22.199557,39.571253,NA,NA
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,20.020617,39.745701,Colonia,NA
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,20.020617,39.745701,Colonia,NA
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,20.020617,39.745701,Rights and privileges,ius Romanum
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,20.020617,39.745701,Rights and privileges,ius Romanum
Hanson2016_17,Calydon,Kalydon,Achaea,Greece,21.532778,38.378056,NA,NA
Hanson2016_18,Carthaea,Unknown,Achaea,Greece,24.314228,37.542346,NA,NA
Hanson2016_19,Cassope,Kamarina,Achaea,Greece,20.675916,39.145016,NA,NA
Hanson2016_20,Chaeronea,Khaironia,Achaea,Greece,22.844532,38.494687,NA,NA
Hanson2016_21,Chalcis,Chalkis,Achaea,Greece,23.643172,38.549423,NA,NA
Hanson2016_22,Cierium,Mataránga,Achaea,Greece,22.075455,39.361088,NA,NA
Hanson2016_23,Cirrha,Xeropigadi,Achaea,Greece,22.450621,38.428937,NA,NA
Hanson2016_24,Cleitor,Kato Klitoria,Achaea,Greece,22.044647,37.885611,NA,NA
Hanson2016_25,Corcyra,Analipsi,Achaea,Greece,19.91558,39.606285,Rights and privileges,libera
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Colonia,NA
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Colonia,NA
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Colonia?,NA
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Provincial capital,NA
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Rights and privileges,libera et immunis
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Rights and privileges,ius Romanum
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,22.879795,37.906321,Rights and privileges,ius Romanum?
Hanson2016_27,Coronea,Agios Georgios,Achaea,Greece,22.957112,38.391204,NA,NA
Hanson2016_28,Delos,Delos,Achaea,Greece,25.267249,37.398611,Rights and privileges,libera et immunis?
Hanson2016_29,Delphi,Delphi,Achaea,Greece,22.5,38.483333,Rights and privileges,libera et immunis
Hanson2016_30,Demetrias,Volos,Achaea,Greece,22.922339,39.343875,NA,NA
Hanson2016_31,Dodona,Dodona,Achaea,Greece,20.787767,39.546432,NA,NA
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,21.551426,38.144625,Colonia,NA
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,21.551426,38.144625,Colonia,NA
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,21.551426,38.144625,Rights and privileges,ius Romanum
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,21.551426,38.144625,Rights and privileges,ius Romanum
Hanson2016_33,Elateia,Lefta,Achaea,Greece,22.764982,38.62635,Rights and privileges,libera et immunis
